[Name],,
BLD GEO HIGH,,
,,
[Data],,
Radius [ m ], theta [ degree ], X [ m ]
0.180450171,-6.36771822,0.001774573
0.180586204,-6.153403282,0.00244457
0.180747643,-5.899381638,0.003238402
0.180932239,-5.608953953,0.004132625
0.181155086,-5.287976742,0.005111325
0.181395128,-4.940514088,0.006164876
0.181653887,-4.573034763,0.007276909
0.181925312,-4.189325333,0.008438823
0.182216004,-3.792887211,0.009641125
0.182519078,-3.383291483,0.010885262
0.182844281,-2.961558819,0.012168451
0.183183029,-2.524763346,0.013495569
0.183543533,-2.076996088,0.014886287
0.183925301,-1.621866226,0.0163479
0.184322476,-1.163419366,0.017865438
0.184719577,-0.696807504,0.019427117
0.185085014,-0.219144687,0.021052219
0.185458884,0.25650236,0.022736676
0.185826287,0.718033075,0.024454236
0.186166838,1.161888003,0.026164386
0.186493292,1.572074652,0.027840106
0.186793402,1.942245245,0.029439151
0.187063336,2.273962259,0.030945318
0.181157514,-6.638049126,0.000886435
0.181231707,-6.516397953,0.001271097
0.181335285,-6.347809315,0.001804063
0.181466743,-6.13482523,0.002471142
0.181622788,-5.882478237,0.003261115
0.181801274,-5.594042778,0.004150737
0.182016999,-5.275317192,0.005124411
0.182249397,-4.930268288,0.006172289
0.18249993,-4.565279007,0.007278224
0.182762846,-4.184113979,0.008433831
0.183044463,-3.790238142,0.009629724
0.183338106,-3.383257866,0.010867291
0.183653429,-2.964140892,0.012143428
0.183981881,-2.530156136,0.013463365
0.184331536,-2.085092306,0.014845264
0.184702009,-1.632496834,0.016296566
0.185087532,-1.176428556,0.017803026
0.185472876,-0.712220907,0.019353542
0.185826778,-0.23674652,0.020965382
0.186188892,0.237165987,0.022634961
0.186544582,0.697517693,0.024337346
0.186873958,1.140945077,0.026032759
0.187189534,1.551857233,0.027693965
0.187479466,1.923610568,0.029281203
0.187739819,2.257892609,0.030778091
0.182393163,-6.608923912,0.000933351
0.182463676,-6.488095284,0.001316313
0.182562217,-6.320791245,0.001846413
0.182687342,-6.109651566,0.002509407
0.182835922,-5.859623909,0.003293979
0.183005929,-5.573949814,0.004177182
0.183211803,-5.258345127,0.005143834
0.183433592,-4.916644573,0.006183791
0.18367283,-4.555107594,0.007281208
0.183923885,-4.177472115,0.008427991
0.184192985,-3.787152052,0.009614936
0.184473619,-3.383802414,0.01084331
0.184775189,-2.968323946,0.012109633
0.185089365,-2.538250446,0.013419587
0.185424045,-2.096963644,0.014789287
0.185778812,-1.647925138,0.016226316
0.186148152,-1.195195198,0.017717401
0.186517239,-0.734392107,0.019252516
0.186855182,-0.262019128,0.020846238
0.187200949,0.209411979,0.022495182
0.187540442,0.668118298,0.024176303
0.18785435,1.110712647,0.025851747
0.188154832,1.522382498,0.027493253
0.188430682,1.896059036,0.02906454
0.188677683,2.233821154,0.030548364
0.184105977,-6.569876671,0.00100055
0.184171408,-6.450174809,0.001381155
0.184262961,-6.284632683,0.001907282
0.184379369,-6.076024055,0.002564618
0.184517652,-5.829179764,0.003341703
0.184675902,-5.547298908,0.004216034
0.184868202,-5.235984325,0.005172959
0.185075343,-4.898887157,0.006201955
0.185298964,-4.542097092,0.007287571
0.185533613,-4.169312,0.008422107
0.185785383,-3.783883333,0.009596675
0.186048031,-3.385528088,0.010812282
0.186330572,-2.97507143,0.012065108
0.186625049,-2.550395012,0.013361265
0.186938986,-2.114345551,0.014714265
0.187272117,-1.670263648,0.016131684
0.18761906,-1.222180724,0.017601602
0.187965661,-0.766164064,0.01911545
0.188281551,-0.2982122,0.020684948
0.188604742,0.16968976,0.022305623
0.188921794,0.626068115,0.023957457
0.189214304,1.067221403,0.025605708
0.189493999,1.479531288,0.027220912
0.189750284,1.855409622,0.02877103
0.189978763,2.197894096,0.030236663
0.186463982,-6.518293381,0.001098063
0.186522588,-6.40013504,0.001475362
0.186604738,-6.23700428,0.001995944
0.186709419,-6.031858921,0.002645395
0.186833888,-5.789370537,0.003412058
0.186976448,-5.51268816,0.004274089
0.187150478,-5.207249641,0.00521749
0.18733798,-4.876468658,0.006231268
0.187540606,-4.526192665,0.007300496
0.18775326,-4.160063267,0.008418005
0.18798174,-3.781358004,0.00957539
0.188220173,-3.389867544,0.010773255
0.188477144,-2.986356258,0.012007483
0.188745067,-2.569121838,0.013284368
0.189031094,-2.140355349,0.014614494
0.189335033,-1.703200936,0.016005008
0.189651862,-1.261627197,0.017445654
0.189968154,-0.812315464,0.018929556
0.190254405,-0.350811929,0.020466695
0.190547198,0.111939408,0.022049377
0.190834075,0.56474483,0.023661813
0.191097796,1.003593802,0.025272205
0.191349521,1.416145325,0.026851904
0.191579416,1.794619799,0.028372847
0.191782892,2.142987728,0.029814377
0.189510584,-6.455391884,0.001232088
0.189560935,-6.339212418,0.001605009
0.18963179,-6.1791749,0.002118297
0.189722329,-5.978465557,0.0027574
0.189830154,-5.741560459,0.00351041
0.189953759,-5.471551418,0.004356402
0.190105721,-5.173658848,0.005282097
0.19026947,-4.851004124,0.006275987
0.190446705,-4.509111404,0.007323803
0.190632716,-4.151560783,0.008419081
0.190832958,-3.781527519,0.009554009
